antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"Jobsatisfaction 4,Joblevel 2",Attrition No,0.11700680272108843,0.8387755102040816,0.1108843537414966,0.9476744186046513,1.1298308153680758,0.012741913091767337,3.0811791383220037
"Joblevel 2,Department Research & Development",Attrition No,0.19115646258503402,0.8387755102040816,0.18095238095238095,0.9466192170818505,1.128572789221671,0.020615021518811616,3.0202721088435354
"Joblevel 2,Department Research & Development,Jobinvolvement 3",Attrition No,0.11156462585034013,0.8387755102040816,0.1054421768707483,0.9451219512195123,1.126787727731292,0.011864500902401792,2.9378684807256277
"Businesstravel Travel Rarely,Joblevel 2,Department Research & Development",Attrition No,0.1272108843537415,0.8387755102040816,0.11972789115646258,0.9411764705882352,1.122083870044368,0.013026516729140639,2.740816326530607
"Joblevel 2,Department Research & Development,Gender Male",Attrition No,0.11224489795918367,0.8387755102040816,0.10476190476190476,0.9333333333333333,1.1127331711273318,0.010613633208385403,2.4183673469387768
"Joblevel 2,Educationfield Life Sciences",Attrition No,0.1469387755102041,0.8387755102040816,0.1360544217687075,0.9259259259259259,1.1039019554834641,0.012805775371373049,2.176530612244899
"Age Range >36 <=43,Department Research & Development",Attrition No,0.15034013605442176,0.8387755102040816,0.13877551020408163,0.9230769230769231,1.1005053340819766,0.012673885880882974,2.0959183673469406
"Distancefromhome Range <=2,Maritalstatus Married",Attrition No,0.1292517006802721,0.8387755102040816,0.11904761904761904,0.9210526315789472,1.0980919451914457,0.010634457864778554,2.0421768707482966
"Distancefromhome Range <=2,Maritalstatus Married,Hourlyrate Range <=48",Attrition No,0.1292517006802721,0.8387755102040816,0.11904761904761904,0.9210526315789472,1.0980919451914457,0.010634457864778554,2.0421768707482966
"Maritalstatus Married,Hourlyrate Range <=48",Attrition No,0.1292517006802721,0.8387755102040816,0.11904761904761904,0.9210526315789472,1.0980919451914457,0.010634457864778554,2.0421768707482966
"Maritalstatus Divorced,Department Research & Development",Attrition No,0.1523809523809524,0.8387755102040816,0.1401360544217687,0.9196428571428571,1.096411192214112,0.012322643343051498,2.006349206349206
"Gender Female,Joblevel 2",Attrition No,0.14965986394557823,0.8387755102040816,0.13741496598639455,0.9181818181818181,1.0946693209466931,0.011883937248368726,1.9705215419501119
